id_tramite,nombre_tramite,organo_rector,fecha_publicacion_produccion,marca_arancelado,link_de_acceso,validador_identidad
449,Pedidos de Informes a IGJ,Ministerio de Justicia,2016-08-22,ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=449,"Mi argentina,AFIP"
450,Pedido de informes tasas o balances,Ministerio de Justicia,2016-08-22,ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=450,"Mi argentina,AFIP"
451,Copias y Testimonios,Ministerio de Justicia,2016-08-22,ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=451,"Mi argentina,AFIP"
452,URGENTE Copias y Testimonios,Ministerio de Justicia,2016-08-22,ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=452,"Mi argentina,AFIP"
453,NICar: Descargo de Disputa,Secretaría Legal y Técnica,2016-09-01,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=453,NIC-AFIP
455,Ley de Silos Nº 19.076,Jefatura de Gabinete de Ministros,2016-10-26,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=455,"Mi argentina,AFIP"
456,Solicitud de entrega en custodia,Jefatura de Gabinete de Ministros,2016-09-09,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=456,"Mi argentina,AFIP"
465,Certificaciones (no eléctricas) - Nota de Apertura Sin Derecho a Uso,Ministerio de Economía,2016-09-28,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=465,"Mi argentina,AFIP"
466,Certificaciones (no eléctricas) - Permiso de Comercialización,Ministerio de Economía,2016-09-28,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=466,"Mi argentina,AFIP"
468,Certificaciones eléctricas - Cierre de Adaptación al Mercado Local (AML),Ministerio de Economía,2016-09-28,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=468,"Mi argentina,AFIP"
469,Certificaciones eléctricas - Apertura de Adaptación al Mercado Local (AML),Ministerio de Economía,2016-09-28,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=469,"Mi argentina,AFIP"
470,Certificaciones - Declaración Jurada de Ascensores,Ministerio de Economía,2016-09-28,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=470,"Mi argentina,AFIP"
472,Plan Nacional Escuelas: Certificación de Obra,Jefatura de Gabinete de Ministros,2016-09-29,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=472,"Mi argentina,AFIP"
475,Solicitud de Compra de Inmueble,Jefatura de Gabinete de Ministros,2016-10-07,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=475,"Mi argentina,AFIP"
482,Solicitud de permiso precario de uso gratuito,Jefatura de Gabinete de Ministros,2016-10-19,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=482,"Mi argentina,AFIP"
484,Trámite testing de performance con pago (pre-caratulación),Jefatura de Gabinete de Ministros,2016-10-24,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=484,"DNI,Mi argentina,ANSES,AFIP"
488,Informe Técnico- Régimen Importación Temporaria,Ministerio de Economía,2016-11-11,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=488,"Mi argentina,AFIP"
490,Solicitud Plazo Especial Art. 8,Ministerio de Economía,2016-11-11,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=490,"Mi argentina,AFIP"
492,Solicitud de Transferencia de Mercaderías,Ministerio de Economía,2016-11-11,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=492,"Mi argentina,AFIP"
495,Solicitud Extensión de Plazo Art.11,Ministerio de Economía,2016-11-11,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=495,"Mi argentina,AFIP"
496,Solicitud de Autorización de Usuario No Directo,Ministerio de Economía,2016-11-16,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=496,"Mi argentina,AFIP"
497,Consulta de Expediente SECLO,Ministerio de Capital Humano,2016-11-17,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=497,"Mi argentina,AFIP"
498,Solicitud de Inscripción al Registro de Armas Químicas,Ministerio de Economía,2016-11-18,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=498,"Mi argentina,AFIP"
505,Res.256/00 – Consulta de Encuadre Previa No Vinculante,Ministerio de Economía,2016-11-18,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=505,"Mi argentina,AFIP"
506,Res.256/00 – Régimen de Importación de Grandes Proyectos de Inversión – Inicio de trámite,Ministerio de Economía,2016-11-18,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=506,"Mi argentina,AFIP"
509,Decreto 1174/2016 - Consulta de Encuadre Previa No Vinculante para líneas de producción usadas,Ministerio de Economía,2016-11-18,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=509,"Mi argentina,AFIP"
510,Res.1174/2016 - Régimen de importación de Líneas de producción usadas,Ministerio de Economía,2016-11-18,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=510,"Mi argentina,AFIP"
511,Sistema Generalizado de Preferencia (SGP),Ministerio de Economía,2016-11-23,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=511,"Mi argentina,AFIP"
516,Solicitud de Tarifa Social,Ministerio de Economía,2016-11-29,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=516,"Mi argentina,AFIP"
517,Solicitud de Auspicio,Ministerio de Justicia,2016-11-30,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=517,"Mi argentina,AFIP"
518,Presentación al Ministerio de Justicia y Derechos Humanos,Ministerio de Justicia,2016-11-30,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=518,"Mi argentina,AFIP"
519,Renuncia de Magistrados y Miembros del MPF y del MPD,Ministerio de Justicia,2016-11-30,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=519,"Mi argentina,AFIP"
521,Solicitud de audiencia,Ministerio de Justicia,2016-11-30,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=521,"Mi argentina,AFIP"
522,Trámites para ex-empleados de entes liquidados,Ministerio de Economía,2016-11-30,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=522,"Mi argentina,AFIP"
523,Solicitud de Importación de Bienes de Capital Usados - CIBU,Ministerio de Economía,2016-11-30,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=523,"Mi argentina,AFIP"
525,Depósito de obra inédita - Primera canción Música o Letra,Ministerio de Justicia,2016-11-30,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=525,"DNI,Mi argentina,ANSES,AFIP"
526,Inscripción Registro Único de Operadores de la Cadena Agroalimentaria,Ministerio de Economía,2016-11-30,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=526,"Mi argentina,AFIP"
527,Depósito de obra inédita - Música o Letra,Ministerio de Justicia,2016-12-02,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=527,"DNI,Mi argentina,ANSES,AFIP"
528,Renovación de obra inédita - Música o Letra,Ministerio de Justicia,2016-12-02,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=528,"DNI,Mi argentina,ANSES,AFIP"
529,Depósito de obra inédita - Primera canción Música y Letra,Ministerio de Justicia,2016-12-02,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=529,"DNI,Mi argentina,ANSES,AFIP"
530,Depósito de obra inédita - Música y Letra,Ministerio de Justicia,2016-12-02,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=530,"DNI,Mi argentina,ANSES,AFIP"
531,Renovación de obra inédita - Música y Letra,Ministerio de Justicia,2016-12-02,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=531,"DNI,Mi argentina,ANSES,AFIP"
532,Depósito de obra inédita - No musical,Ministerio de Justicia,2016-12-02,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=532,"DNI,Mi argentina,ANSES,AFIP"
533,Renovación de obra inédita - No musical,Ministerio de Justicia,2016-12-02,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=533,"DNI,Mi argentina,ANSES,AFIP"
534,Depósito de obra inédita - Software,Ministerio de Justicia,2016-12-02,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=534,"DNI,Mi argentina,ANSES,AFIP"
535,Renovación de obra inédita - Software,Ministerio de Justicia,2016-12-02,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=535,"DNI,Mi argentina,ANSES,AFIP"
536,Inscripción de obra publicada - Software,Ministerio de Justicia,2016-12-02,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=536,"DNI,Mi argentina,ANSES,AFIP"
537,Inscripción de obra publicada - Artística,Ministerio de Justicia,2016-12-02,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=537,"DNI,Mi argentina,ANSES,AFIP"
538,Inscripción de obra publicada - Musical,Ministerio de Justicia,2016-12-02,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=538,"DNI,Mi argentina,ANSES,AFIP"
539,Inscripción de obra publicada - Fonograma,Ministerio de Justicia,2016-12-02,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=539,"DNI,Mi argentina,ANSES,AFIP"
540,Inscripción de obra publicada - Representación,Ministerio de Justicia,2016-12-02,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=540,"DNI,Mi argentina,ANSES,AFIP"
541,Inscripción de obra publicada - Videograma/ Película Cinematográfica,Ministerio de Justicia,2016-12-02,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=541,"DNI,Mi argentina,ANSES,AFIP"
542,Inscripción de obra publicada - Página Web,Ministerio de Justicia,2016-12-02,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=542,"DNI,Mi argentina,ANSES,AFIP"
543,Inscripción de obra publicada - Edición Literaria,Ministerio de Justicia,2016-12-02,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=543,"DNI,Mi argentina,ANSES,AFIP"
544,Inscripción de obra publicada - Multimedia,Ministerio de Justicia,2016-12-02,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=544,"DNI,Mi argentina,ANSES,AFIP"
546,Inscripción al Registro PNTP - Empresa en transformación,Ministerio de Economía,2016-12-12,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=546,"Mi argentina,AFIP"
547,Inscripción al Registro PNTP - Empresa dinámica,Ministerio de Economía,2016-12-12,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=547,"Mi argentina,AFIP"
550,Actualización Técnica de la LCM,Ministerio de Economía,2016-12-14,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=550,"Mi argentina,AFIP"
551,Actualización Administrativa de la LCM,Ministerio de Economía,2016-12-14,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=551,"Mi argentina,AFIP"
556,Solicitud de Licencia de Configuración de Modelo (LCM),Ministerio de Economía,2016-12-16,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=556,"Mi argentina,AFIP"
559,Solicitud de Código de Acceso,Ministerio de Capital Humano,2016-12-23,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=559,"Mi argentina,AFIP"
560,Solicitud de inscripción para el registro de profesionales responsables de emprendimientos forestales y forestoindustriales Ley N° 25.080,Ministerio de Economía,2016-12-20,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=560,"Mi argentina,AFIP"
565,Presentación de facturas al Programa Federal Incluir Salud - Hemodiálisis,Ministerio de Salud,2016-12-23,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=565,"Mi argentina,AFIP"
566,Presentación de facturas al Programa Federal Incluir Salud - Discapacidad,Ministerio de Salud,2016-12-23,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=566,"Mi argentina,AFIP"
567,Presentación de facturas al Programa Federal Incluir Salud - Vía de excepción,Ministerio de Salud,2016-12-23,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=567,"Mi argentina,AFIP"
568,Presentación de facturas al Programa Federal Incluir Salud - PNC PAMI,Ministerio de Salud,2016-12-23,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=568,"Mi argentina,AFIP"
569,Presentación de facturas al Programa Federal Incluir Salud - Cápitas,Ministerio de Salud,2016-12-23,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=569,"Mi argentina,AFIP"
570,Presentación de facturas al Programa Federal Incluir Salud - Fuera de Cápita,Ministerio de Salud,2016-12-23,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=570,"Mi argentina,AFIP"
571,Solicitud de inscripción para el registro de titulares de emprendimientos forestales y forestoindustriales  Ley N° 25.080,Ministerio de Economía,2016-12-23,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=571,"Mi argentina,AFIP"
581,Presentación de Actividades Previstas para el Año en Curso en el Registro de Armas Químicas,Ministerio de Economía,2016-12-28,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=581,"Mi argentina,AFIP"
582,Facturación de Pauta Publicitaria Oficial,Jefatura de Gabinete de Ministros,2017-01-09,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=582,"Mi argentina,AFIP"
588,NICar - Solicitud de Habilitación de Zonas Especiales,Secretaría Legal y Técnica,2017-01-12,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=588,NIC-AFIP
594,Régimen de Desarrollo y Fortalecimiento del Autopartismo Nacional,Ministerio de Economía,2017-01-18,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=594,"Mi argentina,AFIP"
597,Convalidación de Títulos Extranjeros Universitarios,Ministerio de Capital Humano,2017-02-02,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=597,"Mi argentina,AFIP"
598,Reválida de estudios de formación docente (excepto universitarios),Ministerio de Capital Humano,2017-02-02,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=598,"Mi argentina,AFIP"
599,Reválida de estudios de educación superior técnica (excepto universitarios),Ministerio de Capital Humano,2017-02-02,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=599,"Mi argentina,AFIP"
609,Solicitud de visado de planos,Jefatura de Gabinete de Ministros,2017-03-03,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=609,"Mi argentina,AFIP"
610,Solicitud de reconocimiento oficial provisorio del título de carrera de grado,Ministerio de Capital Humano,2017-02-17,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=610,"Mi argentina,AFIP"
611,Solicitud de acreditación de carrera de grado,Ministerio de Capital Humano,2017-02-17,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=611,"Mi argentina,AFIP"
612,Solicitud de acreditación de carrera de posgrado,Ministerio de Capital Humano,2017-02-17,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=612,"Mi argentina,AFIP"
613,Solicitud de reconocimiento oficial provisorio del título de carrera de posgrado,Ministerio de Capital Humano,2017-02-17,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=613,"Mi argentina,AFIP"
614,Régimen de Aduana en Factoría - Presentación DRIPA,Ministerio de Economía,2017-02-23,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=614,"Mi argentina,AFIP"
615,Régimen de Aduana en Factoría - Actualización DRIPA,Ministerio de Economía,2017-02-23,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=615,"Mi argentina,AFIP"
616,Presentación de facturas al Programa Federal Incluir Salud - Provincias,Ministerio de Salud,2017-03-06,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=616,"Mi argentina,AFIP"
617,Presentación de facturas al Programa Federal Incluir Salud - Radioterapia,Ministerio de Salud,2017-03-06,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=617,"Mi argentina,AFIP"
618,Presentación de facturas al Programa Federal Incluir Salud - Transporte,Ministerio de Salud,2017-03-06,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=618,"Mi argentina,AFIP"
620,Presentación de documentación para Expediente en trámite,Jefatura de Gabinete de Ministros,2017-03-06,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=620,"Mi argentina,AFIP"
621,Registro de usuario SISCO-DJPM,Ministerio de Economía,2017-03-07,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=621,"Mi argentina,AFIP"
627,Pedido de Información,Jefatura de Gabinete de Ministros,2017-03-08,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=627,"Mi argentina,AFIP"
629,Denuncias,Jefatura de Gabinete de Ministros,2017-03-10,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=629,"Mi argentina,AFIP"
630,Solicitud de Escrituración y Regulación dominial,Jefatura de Gabinete de Ministros,2017-03-13,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=630,"Mi argentina,AFIP"
631,Propuesta de donación de inmueble,Jefatura de Gabinete de Ministros,2017-03-13,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=631,"Mi argentina,AFIP"
632,Solicitud de obras y refacciones en inmuebles del Estado Nacional,Jefatura de Gabinete de Ministros,2017-03-13,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=632,"Mi argentina,AFIP"
638,Solicitud de inscripción de establecimiento de acuicultura,Ministerio de Economía,2017-03-29,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=638,"Mi argentina,AFIP"
641,Desarrollar (Programa Nacional de Promoción de Agregado de Valor en las PyMEs de Alimentos para el Desarrollo Regional),Ministerio de Economía,2017-04-03,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=641,"Mi argentina,AFIP"
644,Certificado de reintegro,Ministerio de Economía,2017-04-05,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=644,"Mi argentina,AFIP"
648,Solicitud de certificado del Artículo 25 del Decreto Nº 748/99,Ministerio de Economía,2017-04-07,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=648,"Mi argentina,AFIP"
650,Solicitud de Justificación de Falta de Explotación de Cuotas Individuales Transferibles de Captura,Ministerio de Economía,2017-04-07,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=650,"Mi argentina,AFIP"
1000,Reclamo ante la SSN,Ministerio de Economía,2017-05-03,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=1000,"DNI,Mi argentina,ANSES,AFIP"
1001,Acceso a la Información Pública,Jefatura de Gabinete de Ministros,2017-05-05,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=1001,"DNI,Mi argentina,ANSES,AFIP"
1003,Inscripción Prestadores Docentes de Capacitación,Ministerio de Desregulación y Transformación del Estado,2017-05-09,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=1003,"Mi argentina,AFIP"
1005,Alimento para animales - Aviso de llegada,Ministerio de Economía,2017-05-09,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=1005,"Mi argentina,AFIP"
1006,"Autorización de Exportación de Fitosanitarios y Fertilizantes - No prioritario, plazo normal",Ministerio de Economía,2017-05-09,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=1006,"Mi argentina,AFIP"
1007,"Autorización de Importación de Fitosanitarios y Fertilizantes - No prioritario, plazo normal",Ministerio de Economía,2017-05-09,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=1007,"Mi argentina,AFIP"
1008,Solicitud de exportación de productos apícolas,Ministerio de Economía,2017-05-09,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=1008,"Mi argentina,AFIP"
1009,Exportación de animales vivos con destinos diversos,Ministerio de Economía,2017-05-09,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=1009,"Mi argentina,AFIP"
1011,"Solicitud de importación de productos, subproductos de origen animal y alimentos para animales",Ministerio de Economía,2017-05-09,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=1011,"Mi argentina,AFIP"
1012,Exportación de material reproductivo,Ministerio de Economía,2017-05-09,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=1012,"Mi argentina,AFIP"
1013,Animales vivos. Tránsito entre terceros países,Ministerio de Economía,2017-05-09,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=1013,"Mi argentina,AFIP"
1014,Importación de material reproductivo,Ministerio de Economía,2017-05-09,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=1014,"Mi argentina,AFIP"
1015,Importación de animales vivos con destinos diversos,Ministerio de Economía,2017-05-09,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=1015,"Mi argentina,AFIP"
1023,Inscripción al RUP de Instituciones Prestadoras,Ministerio de Desregulación y Transformación del Estado,2017-05-17,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=1023,"Mi argentina,AFIP"
1024,Solicitud de Prórroga para la Inscripción de Docentes/Especialistas,Ministerio de Desregulación y Transformación del Estado,2017-05-17,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=1024,"Mi argentina,AFIP"
1034,Adaptación al Mercado Local (AML) No eléctrico - EXCEPCIÓN,Ministerio de Economía,2017-05-17,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=1034,"Mi argentina,AFIP"
1035,Adaptación al Mercado Local (AML) No eléctrico - CIERRE,Ministerio de Economía,2017-05-17,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=1035,"Mi argentina,AFIP"
1036,Adaptación al Mercado Local (AML) No eléctrico - APERTURA,Ministerio de Economía,2017-05-17,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=1036,"Mi argentina,AFIP"
1037,Presentación de certificado de redeterminación de obra,Ministerio de Economía,2017-05-17,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=1037,"Mi argentina,AFIP"
1038,Presentación de certificado básico de obra,Ministerio de Economía,2017-05-17,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=1038,"Mi argentina,AFIP"
